year,yclfpr,L1yclfpr,x1cunr,x2hwage
1980,63.8,,7.1,8
1981,63.9,63.8,7.6,7.89
1982,64,63.9,9.7,7.87
1983,64,64,9.6,7.96
1984,64.4,64,7.5,7.96
1985,64.8,64.4,7.2,7.92
1986,65.3,64.8,7,7.97
1987,65.6,65.3,6.2,7.87
1988,65.9,65.6,5.5,7.82
1989,66.5,65.9,5.3,7.75
1990,66.5,66.5,5.6,7.66
1991,66.2,66.5,6.8,7.59
1992,66.4,66.2,7.5,7.55
1993,66.3,66.4,6.9,7.54
1994,66.6,66.3,6.1,7.54
1995,66.6,66.6,5.6,7.54
1996,66.8,66.6,5.4,7.57
1997,67.1,66.8,4.9,7.69
1998,67.1,67.1,4.5,7.89
1999,67.1,67.1,4.2,8.01
2000,67.1,67.1,4,8.04
2001,66.8,67.1,4.7,8.12
2002,66.6,66.8,5.8,8.25
2003,66.2,66.6,6,8.28
2004,66,66.2,5.5,8.24
2005,66,66,5.1,8.18
2006,66.2,66,4.6,8.24
2007,66,66.2,4.62,8.32
